FlightHour,HourlyAvgTemperature,HourlyAvgDewPoint,HourlyAvgRelativeHumidity,HourlyAvgWindSpeed,HourlyAvgVisibility
2021-12-23 22,54.0,27.0,35.05,4.0,10.0
2021-12-23 23,51.0,28.0,40.63,5.0,10.0
2021-12-24 00,51.0,28.0,40.63,5.0,10.0
2021-12-24 01,48.0,28.9,47.32,3.0,10.0
2021-12-24 02,47.0,28.9,49.32,4.0,10.0
2021-12-24 03,46.0,28.9,51.03,3.0,10.0
2021-12-24 04,43.0,30.9,62.06,4.0,10.0
2021-12-24 05,44.0,30.9,59.5,4.0,10.0
2021-12-24 06,43.0,32.0,64.88,6.0,10.0
2021-12-24 07,42.0,32.0,67.17,0.0,10.0
2021-12-24 08,41.0,32.0,70.08,0.0,10.0
2021-12-24 09,39.0,32.0,75.75,0.0,10.0
2021-12-24 10,40.0,32.0,73.14,0.0,10.0
2021-12-24 11,40.0,32.0,73.14,3.0,10.0
2021-12-24 12,38.0,32.0,79.08,3.0,10.0
2021-12-24 13,44.0,35.0,70.43,5.0,10.0
2021-12-24 14,50.0,36.0,58.44,5.0,10.0
2021-12-24 15,52.0,37.0,56.39,7.0,10.0
2021-12-24 16,59.0,43.0,55.28,8.0,10.0
2021-12-24 17,59.0,45.0,59.67,9.0,10.0
2021-12-24 18,62.0,47.5,58.85,7.5,10.0
2021-12-24 19,64.0,48.0,55.99,10.0,10.0
2021-12-24 20,66.0,47.0,50.1,8.0,10.0
2021-12-24 21,64.0,47.0,53.72,10.0,10.0
2021-12-24 22,60.0,47.0,61.65,3.0,10.0
2021-12-24 23,57.0,47.0,68.9,5.0,10.0
2021-12-25 00,57.0,47.0,68.9,6.0,10.0
2021-12-25 01,57.0,46.0,66.59,7.0,10.0
2021-12-25 02,56.0,45.0,66.72,5.0,10.0
2021-12-25 03,55.0,45.0,68.93,7.0,10.0
2021-12-25 04,55.0,46.0,71.6,7.0,10.0
2021-12-25 05,55.0,48.0,77.21,9.0,10.0
2021-12-25 06,54.0,49.0,82.82,5.0,10.0
2021-12-25 07,53.5,49.5,85.94,4.0,10.0
2021-12-25 08,55.0,50.0,83.2,5.0,10.0
2021-12-25 09,56.0,51.0,83.88,7.0,10.0
2021-12-25 10,57.0,51.5,81.96,10.0,10.0
2021-12-25 11,57.0,52.0,83.33,12.0,10.0
2021-12-25 12,57.0,53.0,86.77,10.0,10.0
2021-12-25 13,58.0,53.0,84.0,10.0,10.0
2021-12-25 14,60.0,54.0,80.25,11.0,10.0
2021-12-25 15,61.5,54.0,76.24,10.5,10.0
2021-12-25 16,64.0,55.0,72.52,13.0,10.0
2021-12-25 17,66.0,56.0,69.88,14.0,10.0
2021-12-25 18,68.0,56.0,65.22,15.0,10.0
2021-12-25 19,68.0,56.0,65.22,14.0,10.0
2021-12-25 20,68.0,56.0,65.22,11.0,10.0
2021-12-25 21,68.0,57.0,67.86,11.0,10.0
2021-12-25 22,67.0,57.0,70.49,10.0,10.0
2021-12-25 23,67.0,57.0,70.49,11.0,10.0
2021-12-26 00,66.0,57.0,72.72,8.0,10.0
2021-12-26 01,66.0,57.0,72.72,6.0,10.0
2021-12-26 02,66.0,58.0,75.12,7.0,10.0
2021-12-26 03,64.0,57.0,77.97,5.0,10.0
2021-12-26 04,64.0,58.0,80.54,7.0,10.0
2021-12-26 05,64.0,58.0,80.54,6.0,10.0
2021-12-26 06,64.0,58.0,80.54,6.0,10.0
2021-12-26 07,64.0,57.0,77.97,6.0,10.0
2021-12-26 08,62.0,57.0,83.36,6.0,10.0
2021-12-26 09,61.0,57.0,86.67,3.0,10.0
2021-12-26 10,59.0,56.0,89.44,3.0,10.0
2021-12-26 11,59.0,56.0,89.44,3.0,10.0
2021-12-26 12,58.5,56.0,91.24,1.5,10.0
2021-12-26 13,61.0,58.0,89.52,4.0,10.0
2021-12-26 14,65.0,59.0,81.19,5.0,10.0
2021-12-26 15,69.0,60.0,73.03,5.0,10.0
2021-12-26 16,71.0,60.0,68.21,4.0,10.0
2021-12-26 17,73.0,59.0,61.5,3.0,10.0
2021-12-26 18,72.0,58.0,61.15,5.0,10.0
2021-12-26 19,72.0,58.0,61.15,0.0,10.0
2021-12-26 20,75.0,59.0,57.5,10.0,10.0
2021-12-26 21,71.0,59.0,65.58,6.0,10.0
2021-12-26 22,69.0,59.0,70.21,5.0,10.0
2021-12-26 23,67.0,59.0,75.74,5.0,10.0
2021-12-27 00,65.0,59.0,81.19,5.0,10.0
2021-12-27 01,64.0,59.0,83.78,5.0,10.0
2021-12-27 02,63.0,59.0,86.77,5.0,10.0
2021-12-27 03,62.0,59.0,89.57,4.0,10.0
2021-12-27 04,61.0,59.0,93.12,4.0,5.0
2021-12-27 05,60.0,58.0,92.43,3.0,3.0
2021-12-27 06,59.4,58.2,95.39,3.8,0.6
2021-12-27 07,60.4,57.6,90.18,4.0,0.25
2021-12-27 08,59.5,58.0,94.28,4.5,0.25
2021-12-27 09,60.0,59.0,96.15,4.33,1.42
2021-12-27 10,61.0,59.5,94.98,4.5,4.5
2021-12-27 11,61.0,59.5,94.98,6.5,0.5
2021-12-27 12,61.0,60.0,96.85,6.0,0.5
2021-12-27 13,62.0,60.0,93.16,8.0,0.5
2021-12-27 14,62.0,60.0,93.16,8.33,5.0
2021-12-27 15,64.0,59.5,85.46,8.5,10.0
2021-12-27 16,65.5,59.0,79.66,7.0,10.0
2021-12-27 17,66.5,59.0,76.94,9.0,10.0
2021-12-27 18,69.0,58.0,67.5,14.0,10.0
2021-12-27 19,69.0,58.0,67.5,11.0,10.0
2021-12-27 20,69.0,58.0,67.5,8.0,10.0
2021-12-27 21,69.0,58.0,67.5,8.0,10.0
2021-12-27 22,68.0,59.0,72.92,7.0,10.0
2021-12-27 23,67.0,59.0,75.74,3.0,10.0
2021-12-28 00,67.0,59.0,75.74,5.0,10.0
2021-12-28 01,66.0,60.0,81.27,0.0,10.0
2021-12-28 02,66.0,59.0,78.14,3.0,10.0
2021-12-28 03,65.0,59.0,81.19,4.0,10.0
2021-12-28 04,65.0,59.0,81.19,0.0,10.0
2021-12-28 05,64.0,59.0,83.78,3.0,10.0
2021-12-28 06,62.0,58.5,87.84,1.5,10.0
2021-12-28 07,63.0,59.33,87.93,1.0,10.0
2021-12-28 08,64.0,61.0,89.97,6.0,9.0
2021-12-28 09,65.0,62.0,90.64,7.0,10.0
2021-12-28 10,65.0,61.0,87.18,7.5,10.0
2021-12-28 11,65.0,61.0,87.18,6.0,10.0
2021-12-28 12,65.0,60.0,84.44,6.0,10.0
2021-12-28 13,64.0,59.5,85.46,4.0,10.0
2021-12-28 14,64.0,60.0,87.14,7.0,10.0
2021-12-28 15,65.0,60.5,85.81,8.5,10.0
2021-12-28 16,68.0,62.0,81.41,9.0,10.0
2021-12-28 17,68.0,63.0,84.03,10.0,10.0
2021-12-28 18,71.0,63.0,75.58,10.0,10.0
2021-12-28 19,73.5,62.5,68.76,8.5,10.0
2021-12-28 20,73.0,61.0,66.04,10.0,10.0
2021-12-28 21,72.0,61.0,68.31,6.0,10.0
2021-12-28 22,71.0,61.0,70.42,9.0,10.0
2021-12-28 23,70.0,60.0,70.81,4.0,10.0
2021-12-29 00,69.0,59.0,70.21,9.0,10.0
2021-12-29 01,68.0,59.0,72.92,8.0,10.0
2021-12-29 02,67.0,59.0,75.74,7.0,10.0
2021-12-29 03,66.0,60.0,81.27,8.0,10.0
2021-12-29 04,66.0,61.0,83.91,9.0,10.0
2021-12-29 05,66.5,61.0,82.62,11.0,10.0
2021-12-29 06,68.0,61.0,78.3,10.0,10.0
2021-12-29 07,68.0,62.0,81.41,9.0,10.0
2021-12-29 08,68.0,62.0,81.41,11.5,10.0
2021-12-29 09,67.0,62.0,84.56,13.0,10.0
2021-12-29 10,67.0,62.0,84.56,9.0,10.0
2021-12-29 11,67.5,62.5,84.3,8.5,10.0
2021-12-29 12,66.0,64.0,93.26,7.5,3.0
2021-12-29 13,67.0,64.0,90.4,7.0,3.0
2021-12-29 14,67.0,64.0,90.4,7.0,3.0
2021-12-29 15,65.33,62.33,90.44,8.67,3.0
2021-12-29 16,67.0,63.0,87.28,0.0,10.0
2021-12-29 17,69.4,65.6,87.41,6.5,10.0
2021-12-29 18,70.0,65.5,85.5,8.0,10.0
2021-12-29 19,72.0,65.0,78.35,6.0,10.0
2021-12-29 20,73.0,64.0,73.4,7.0,10.0
2021-12-29 21,72.0,63.0,73.31,7.0,10.0
2021-12-29 22,70.0,64.0,81.27,7.0,10.0
2021-12-29 23,68.0,64.0,87.03,8.0,10.0
2021-12-30 00,68.0,64.8,89.29,6.33,10.0
2021-12-30 01,68.0,65.0,89.81,7.5,9.0
2021-12-30 02,69.0,66.0,89.86,8.0,10.0
2021-12-30 03,69.0,66.0,89.86,10.0,10.0
2021-12-30 04,69.0,66.0,89.86,9.5,10.0
2021-12-30 05,69.0,66.0,89.86,8.0,7.0
2021-12-30 06,67.24,64.48,91.0,10.4,3.3
2021-12-30 07,67.0,64.0,90.4,5.0,7.33
2021-12-30 08,66.55,64.35,92.72,6.75,6.0
2021-12-30 09,65.47,62.87,91.64,9.0,7.0
2021-12-30 10,65.0,63.0,93.56,5.75,3.5
2021-12-30 11,65.5,63.0,91.8,4.5,10.0
2021-12-30 12,66.0,63.0,90.05,3.0,10.0
2021-12-30 13,65.8,61.45,85.97,6.5,5.94
2021-12-30 14,64.1,61.9,92.73,6.5,3.25
2021-12-30 15,64.13,62.2,93.65,4.33,2.0
2021-12-30 16,64.0,62.67,95.55,2.67,7.33
2021-12-30 17,64.1,62.15,93.62,3.5,6.25
2021-12-30 18,64.0,62.0,93.54,5.0,8.0
2021-12-30 19,64.0,62.0,93.54,4.33,2.83
2021-12-30 20,64.0,62.0,93.54,5.75,1.56
2021-12-30 21,64.75,63.0,94.31,2.75,1.75
2021-12-30 22,65.0,63.0,93.56,4.0,2.5
2021-12-30 23,65.0,62.0,90.64,8.0,2.5
2021-12-31 00,65.0,63.0,93.56,8.0,8.0
2021-12-31 01,65.0,62.0,90.64,6.0,10.0
2021-12-31 02,63.0,60.0,90.25,5.0,10.0
2021-12-31 03,62.0,59.0,89.57,3.0,10.0
2021-12-31 04,61.5,59.0,91.34,3.5,10.0
2021-12-31 05,60.0,58.0,92.43,3.0,7.0
2021-12-31 06,59.5,57.5,92.75,0.0,0.38
2021-12-31 07,60.0,59.0,96.15,0.0,0.25
2021-12-31 08,59.0,58.0,96.13,0.0,0.25
2021-12-31 09,58.0,57.0,96.81,3.0,0.25
2021-12-31 10,57.55,56.35,95.85,0.75,0.25
2021-12-31 11,57.67,56.0,94.06,1.0,0.25
2021-12-31 12,57.0,56.0,96.1,3.0,1.0
2021-12-31 13,58.0,57.0,96.81,1.5,5.0
2021-12-31 14,59.5,58.0,94.28,1.5,0.62
2021-12-31 15,61.0,60.0,96.85,3.0,0.25
2021-12-31 16,64.0,62.0,93.54,4.0,0.25
2021-12-31 17,65.0,63.0,93.56,6.0,0.25
2021-12-31 18,66.0,65.0,96.24,3.0,0.25
2021-12-31 19,68.0,65.67,92.16,4.67,1.5
2021-12-31 20,70.87,66.73,86.53,5.0,6.67
2021-12-31 21,71.0,67.0,86.59,3.0,10.0
2021-12-31 22,70.0,66.0,87.14,3.0,10.0
2021-12-31 23,70.0,66.0,87.14,5.0,10.0
2022-01-01 00,69.0,65.0,86.48,6.0,10.0
2022-01-01 01,68.0,64.0,87.03,5.0,10.0
2022-01-01 02,68.0,64.0,87.03,4.0,10.0
2022-01-01 03,68.0,64.0,87.03,5.0,10.0
2022-01-01 04,68.0,65.0,89.81,7.0,10.0
2022-01-01 05,68.0,65.0,89.81,7.0,10.0
2022-01-01 06,69.0,66.0,89.86,8.5,10.0
2022-01-01 07,70.0,66.0,87.14,10.0,10.0
2022-01-01 08,71.0,66.0,83.93,9.0,10.0
2022-01-01 09,71.0,66.0,83.93,9.0,10.0
2022-01-01 10,70.0,66.0,87.14,7.0,10.0
2022-01-01 11,70.0,66.0,87.14,8.0,10.0
2022-01-01 12,70.0,66.0,87.14,9.0,10.0
2022-01-01 13,70.5,65.5,83.9,9.5,10.0
2022-01-01 14,71.5,65.0,79.56,10.5,10.0
2022-01-01 15,71.0,66.0,83.93,5.0,3.0
2022-01-01 16,70.33,67.0,88.8,8.0,7.67
2022-01-01 17,72.0,67.5,85.46,12.0,8.5
2022-01-01 18,75.0,65.5,72.21,14.0,10.0
2022-01-01 19,78.0,65.0,63.9,13.0,10.0
2022-01-01 20,76.0,63.0,64.31,8.0,10.0
2022-01-01 21,76.0,62.0,62.3,10.0,10.0
2022-01-01 22,76.0,61.0,59.92,8.0,10.0
2022-01-01 23,74.0,61.0,64.07,12.0,10.0
2022-01-02 00,74.0,61.0,64.07,11.0,10.0
2022-01-02 01,74.0,62.0,66.61,17.0,10.0
2022-01-02 02,73.0,62.5,69.76,12.0,10.0
2022-01-02 03,73.0,63.0,70.87,13.5,10.0
2022-01-02 04,73.0,64.0,73.4,11.0,10.0
2022-01-02 05,73.0,64.0,73.4,15.5,10.0
2022-01-02 06,73.0,64.0,73.4,13.0,10.0
2022-01-02 07,73.0,64.0,73.4,13.5,10.0
2022-01-02 08,73.0,64.0,73.4,12.0,10.0
2022-01-02 09,73.0,64.0,73.4,12.0,10.0
2022-01-02 10,66.68,61.96,85.09,16.8,4.0
2022-01-02 11,62.93,60.97,93.29,5.5,2.5
2022-01-02 12,63.0,60.0,90.25,7.0,8.0
2022-01-02 13,62.0,60.0,93.16,4.0,5.0
2022-01-02 14,62.0,60.0,93.16,8.0,10.0
2022-01-02 15,62.0,59.0,89.57,5.0,10.0
2022-01-02 16,61.0,58.0,89.52,6.0,7.0
2022-01-02 17,60.0,57.0,89.48,6.0,10.0
2022-01-02 18,59.0,56.0,89.44,8.0,10.0
2022-01-02 19,57.0,55.0,93.01,1.5,4.0
2022-01-02 20,57.5,54.0,88.5,2.0,8.5
2022-01-02 21,59.0,54.0,83.46,5.0,10.0
2022-01-02 22,58.0,55.0,90.04,3.0,10.0
2022-01-02 23,57.0,54.0,89.68,0.0,10.0
2022-01-03 00,57.0,54.0,89.68,5.0,10.0
2022-01-03 01,57.0,54.5,91.34,5.0,7.0
2022-01-03 02,57.0,55.0,93.01,6.5,1.0
2022-01-03 03,58.0,56.0,93.04,15.0,4.0
2022-01-03 04,53.0,50.5,91.02,19.5,6.5
2022-01-03 05,49.0,46.0,89.67,22.0,4.0
2022-01-03 06,45.5,42.0,87.48,19.5,6.0
2022-01-03 07,40.0,36.0,85.81,20.0,7.0
2022-01-03 08,37.0,33.0,85.64,26.0,7.0
2022-01-03 09,37.0,33.0,85.64,27.0,10.0
2022-01-03 10,36.0,32.0,85.23,20.0,10.0
2022-01-03 11,35.0,32.0,88.33,22.0,6.0
2022-01-03 12,35.87,30.67,81.19,19.0,10.0
2022-01-03 13,35.0,30.0,81.46,14.0,10.0
2022-01-03 14,36.0,28.9,75.15,17.0,10.0
2022-01-03 15,36.0,28.9,75.15,11.0,10.0
2022-01-03 16,37.0,28.0,69.63,13.0,10.0
2022-01-03 17,39.0,28.9,66.79,18.0,10.0
2022-01-03 18,39.5,28.9,65.64,16.0,10.0
2022-01-03 19,42.0,28.9,59.22,11.0,10.0
2022-01-03 20,41.0,28.0,59.55,14.0,10.0
2022-01-03 21,40.0,27.0,59.65,13.0,10.0
2022-01-03 22,37.0,27.0,66.82,12.0,10.0
2022-01-03 23,36.0,26.1,66.97,12.0,10.0
2022-01-04 00,35.0,26.1,69.41,9.0,10.0
2022-01-04 01,34.0,26.1,72.52,9.0,10.0
2022-01-04 02,33.0,26.1,75.18,6.0,10.0
2022-01-04 03,32.0,26.1,78.58,7.0,10.0
2022-01-04 04,32.0,26.1,78.58,9.0,10.0
2022-01-04 05,30.9,26.1,82.15,5.0,10.0
2022-01-04 06,30.9,26.1,82.15,6.0,10.0
2022-01-04 07,30.0,26.1,85.21,6.0,10.0
2022-01-04 08,30.0,26.1,85.21,4.0,10.0
2022-01-04 09,30.9,26.1,82.15,7.0,10.0
2022-01-04 10,30.9,27.0,85.26,4.0,10.0
2022-01-04 11,30.9,27.0,85.26,6.0,10.0
2022-01-04 12,30.9,27.0,85.26,5.0,10.0
2022-01-04 13,35.0,28.9,77.88,8.0,10.0
2022-01-04 14,39.0,32.0,75.75,10.0,10.0
2022-01-04 15,42.0,32.0,67.17,9.0,10.0
2022-01-04 16,45.0,30.9,57.5,7.0,10.0
2022-01-04 17,47.0,28.9,49.32,8.0,10.0
2022-01-04 18,49.0,27.0,42.32,6.0,10.0
2022-01-04 19,51.0,25.0,35.89,10.0,10.0
2022-01-04 20,50.0,25.0,37.39,8.0,10.0
2022-01-04 21,50.0,25.0,37.39,8.0,10.0
2022-01-04 22,47.0,25.0,41.99,7.0,10.0
2022-01-04 23,46.0,26.1,45.47,6.0,10.0
2022-01-05 00,45.0,26.1,47.23,6.0,10.0
2022-01-05 01,44.0,27.0,50.73,6.0,10.0
2022-01-05 02,44.0,28.0,52.86,6.0,10.0
2022-01-05 03,43.0,30.0,59.83,6.0,10.0
2022-01-05 04,43.0,31.45,63.47,6.5,10.0
2022-01-05 05,43.0,33.0,67.82,6.5,10.0
2022-01-05 06,44.0,35.0,70.43,6.0,10.0
2022-01-05 07,44.0,35.0,70.43,6.0,10.0
2022-01-05 08,44.0,36.0,72.99,5.0,10.0
2022-01-05 09,44.0,37.0,75.93,3.0,10.0
2022-01-05 10,45.0,38.0,76.01,0.0,10.0
2022-01-05 11,44.0,38.0,78.66,0.0,10.0
2022-01-05 12,43.5,38.0,80.35,3.0,9.0
2022-01-05 13,44.0,39.0,82.12,5.0,10.0
2022-01-05 14,47.0,39.0,73.85,7.0,10.0
2022-01-05 15,51.0,39.0,63.12,8.0,10.0
2022-01-05 16,52.5,40.0,61.98,9.0,10.0
2022-01-05 17,52.5,40.0,61.98,7.5,10.0
2022-01-05 18,56.0,41.0,57.23,8.0,10.0
2022-01-05 19,58.0,41.0,53.24,11.0,10.0
2022-01-05 20,56.0,42.0,59.71,9.0,10.0
2022-01-05 21,56.0,42.0,59.71,7.0,10.0
2022-01-05 22,53.0,41.0,63.38,5.0,10.0
2022-01-05 23,52.0,42.0,68.86,3.0,10.0
2022-01-06 00,48.0,41.0,76.58,0.0,10.0
2022-01-06 01,47.0,41.0,79.82,0.0,10.0
2022-01-06 02,47.0,41.0,79.82,0.0,10.0
2022-01-06 03,45.0,40.0,82.19,3.0,10.0
2022-01-06 04,45.0,41.0,85.77,4.0,10.0
2022-01-06 05,44.0,40.0,85.06,5.0,10.0
2022-01-06 06,42.93,40.33,90.24,6.0,9.0
2022-01-06 07,41.0,39.0,92.52,4.0,9.0
2022-01-06 08,41.0,38.0,88.62,5.0,7.0
2022-01-06 09,40.0,38.0,92.48,5.0,6.0
2022-01-06 10,41.0,39.0,92.52,4.0,5.0
2022-01-06 11,40.0,38.0,92.48,0.0,6.0
2022-01-06 12,39.0,38.0,95.78,6.0,7.0
2022-01-06 13,43.0,41.0,92.58,0.0,10.0
2022-01-06 14,46.0,42.0,86.16,4.0,5.0
2022-01-06 15,51.0,42.0,71.19,6.0,8.0
2022-01-06 16,54.0,44.0,69.09,7.0,10.0
2022-01-06 17,59.0,46.0,61.98,13.0,10.0
2022-01-06 18,61.0,45.0,55.57,14.0,10.0
2022-01-06 19,63.0,46.0,53.78,8.0,10.0
2022-01-06 20,61.0,48.0,62.23,7.0,10.0
2022-01-06 21,57.0,53.0,86.77,7.0,6.0
2022-01-06 22,56.0,53.0,90.29,10.5,9.5
2022-01-06 23,54.0,49.0,82.82,19.0,10.0
2022-01-07 00,47.0,42.0,83.28,18.0,10.0
2022-01-07 01,44.0,38.0,78.66,17.0,10.0
2022-01-07 02,40.0,33.0,76.44,20.0,10.0
2022-01-07 03,38.0,30.0,72.93,18.0,10.0
2022-01-07 04,37.0,30.0,75.56,11.0,10.0
2022-01-07 05,36.0,28.9,75.15,16.0,10.0
2022-01-07 06,52.0,26.1,36.34,13.0,10.0
2022-01-07 07,32.0,24.55,73.68,10.0,10.0
2022-01-07 08,30.9,24.1,75.59,7.0,10.0
2022-01-07 09,30.0,24.1,78.4,8.0,10.0
2022-01-07 10,28.9,21.9,74.76,6.0,10.0
2022-01-07 11,28.9,21.9,74.76,8.0,10.0
2022-01-07 12,28.0,19.9,71.25,13.0,10.0
2022-01-07 13,28.9,19.9,68.67,13.0,10.0
2022-01-07 14,30.9,19.9,63.31,11.0,10.0
2022-01-07 15,33.0,19.0,55.75,15.0,10.0
2022-01-07 16,35.0,19.0,51.47,9.0,10.0
2022-01-07 17,36.0,17.1,45.77,10.0,10.0
2022-01-07 18,38.0,17.1,42.46,6.0,10.0
2022-01-07 19,40.0,16.0,37.44,5.0,10.0
2022-01-07 20,40.0,14.0,34.31,6.0,10.0
2022-01-07 21,40.0,12.0,31.42,5.0,10.0
2022-01-07 22,38.0,15.1,38.93,6.0,10.0
2022-01-07 23,36.0,15.1,41.96,9.0,10.0
2022-01-08 00,35.0,15.1,43.49,7.0,10.0
2022-01-08 01,34.0,15.1,45.43,8.0,10.0
2022-01-08 02,32.0,15.1,49.23,7.0,10.0
2022-01-08 03,32.0,16.0,51.2,6.0,10.0
2022-01-08 04,30.9,16.0,53.53,5.0,10.0
2022-01-08 05,30.9,16.0,53.53,5.0,10.0
2022-01-08 06,30.0,18.0,60.53,4.0,10.0
2022-01-08 07,30.9,18.0,58.36,5.0,10.0
2022-01-08 08,30.0,18.0,60.53,5.0,10.0
2022-01-08 09,30.0,19.0,63.18,7.0,10.0
2022-01-08 10,30.9,19.9,63.31,9.0,10.0
2022-01-08 11,30.9,19.9,63.31,11.0,10.0
2022-01-08 12,30.9,19.9,63.31,10.0,10.0
2022-01-08 13,33.0,19.9,57.93,10.0,10.0
2022-01-08 14,37.0,19.9,49.61,11.0,10.0
2022-01-08 15,40.0,19.9,44.29,9.0,10.0
2022-01-08 16,43.0,21.0,41.17,8.0,10.0
2022-01-08 17,47.0,21.9,36.87,8.0,10.0
2022-01-08 18,50.0,21.9,32.83,7.0,10.0
2022-01-08 19,52.0,21.9,30.49,8.0,10.0
2022-01-08 20,52.0,21.0,29.35,10.0,10.0
2022-01-08 21,51.0,23.0,33.01,9.0,10.0
2022-01-08 22,49.0,25.0,38.95,7.0,10.0
2022-01-08 23,47.0,28.0,47.54,9.0,10.0
2022-01-09 00,46.0,30.0,53.37,11.0,10.0
2022-01-09 01,45.0,30.9,57.5,8.0,10.0
2022-01-09 02,42.0,30.0,61.94,9.0,10.0
2022-01-09 03,43.0,28.9,57.21,9.5,10.0
2022-01-09 04,44.0,30.9,59.5,10.0,10.0
2022-01-09 05,44.0,32.0,62.21,9.5,10.0
2022-01-09 06,44.0,33.33,65.82,10.33,10.0
2022-01-09 07,44.0,34.0,67.41,8.0,10.0
2022-01-09 08,44.0,34.0,67.41,9.33,10.0
2022-01-09 09,44.0,34.0,67.41,6.0,10.0
2022-01-09 10,44.0,34.0,67.41,8.0,10.0
2022-01-09 11,44.0,35.0,70.43,7.0,10.0
2022-01-09 12,43.0,35.0,73.45,8.0,10.0
2022-01-09 13,44.0,36.0,72.99,7.5,10.0
2022-01-09 14,45.0,37.0,73.37,7.0,10.0
2022-01-09 15,47.0,38.0,70.73,4.0,10.0
2022-01-09 16,49.0,40.0,70.95,6.0,10.0
2022-01-09 17,53.5,43.0,67.74,6.5,10.0
2022-01-09 18,60.0,49.0,66.46,8.0,10.0
2022-01-09 19,64.0,53.0,67.66,7.0,10.0
2022-01-09 20,63.0,55.5,76.36,6.5,8.5
2022-01-09 21,60.75,56.25,84.72,9.75,4.5
2022-01-09 22,58.0,55.5,91.54,3.5,5.5
2022-01-09 23,57.0,56.0,96.1,4.0,10.0
2022-01-10 00,57.6,57.1,98.4,4.0,4.0
2022-01-10 01,59.0,57.0,93.07,5.0,4.0
2022-01-10 02,57.0,54.5,91.34,13.5,8.0
2022-01-10 03,54.0,51.0,89.88,12.0,10.0
2022-01-10 04,51.0,48.0,89.09,9.0,10.0
2022-01-10 05,48.0,45.0,89.29,16.0,10.0
2022-01-10 06,45.0,39.0,79.26,10.5,10.0
2022-01-10 07,42.0,33.0,70.2,11.0,10.0
2022-01-10 08,41.0,30.0,64.63,11.0,10.0
2022-01-10 09,40.0,27.0,59.65,11.0,10.0
2022-01-10 10,39.0,25.0,56.86,15.0,10.0
2022-01-10 11,37.0,24.1,59.24,13.0,10.0
2022-01-10 12,36.0,24.1,61.62,9.0,10.0
2022-01-10 13,36.0,24.1,61.62,13.0,10.0
2022-01-10 14,39.0,21.9,49.93,9.0,10.0
2022-01-10 15,42.0,19.9,40.67,14.0,10.0
2022-01-10 16,47.0,17.1,30.04,9.0,10.0
2022-01-10 17,51.0,12.0,20.54,15.0,10.0
2022-01-10 18,52.0,12.9,20.68,17.0,10.0
2022-01-10 19,51.0,14.0,22.43,17.0,10.0
2022-01-10 20,50.0,10.0,19.58,15.0,10.0
2022-01-10 21,48.0,12.9,23.99,16.0,10.0
2022-01-10 22,45.0,12.9,26.87,14.0,10.0
2022-01-10 23,43.0,15.1,31.94,8.0,10.0
2022-01-11 00,42.0,16.0,34.39,8.0,10.0
2022-01-11 01,41.0,16.0,35.88,9.0,10.0
2022-01-11 02,41.0,15.1,34.5,13.0,10.0
2022-01-11 03,40.0,12.0,31.42,12.0,10.0
2022-01-11 04,39.0,12.9,33.86,17.0,10.0
2022-01-11 05,38.0,14.0,37.1,19.0,10.0
2022-01-11 06,37.0,12.9,36.63,15.0,10.0
2022-01-11 07,36.0,12.9,38.1,13.0,10.0
2022-01-11 08,35.0,14.0,41.44,9.0,10.0
2022-01-11 09,33.0,15.1,47.1,6.0,10.0
2022-01-11 10,32.0,16.0,51.2,6.0,10.0
2022-01-11 11,30.9,16.0,53.53,5.0,10.0
2022-01-11 12,30.0,17.1,58.23,4.0,10.0
2022-01-11 13,33.0,18.0,53.4,4.0,10.0
2022-01-11 14,38.0,18.0,44.14,6.0,10.0
2022-01-11 15,43.0,17.1,34.84,5.0,10.0
2022-01-11 16,44.0,15.1,30.63,3.0,10.0
2022-01-11 17,47.0,16.0,28.64,7.0,10.0
2022-01-11 18,48.0,16.0,27.48,5.0,10.0
2022-01-11 19,50.0,17.1,26.74,5.0,10.0
2022-01-11 20,51.0,18.0,26.69,0.0,10.0
2022-01-11 21,50.0,17.1,26.74,5.0,10.0
2022-01-11 22,47.0,18.0,31.22,4.0,10.0
2022-01-11 23,45.0,19.0,35.02,3.0,10.0
2022-01-12 00,43.0,19.9,39.29,0.0,10.0
2022-01-12 01,42.0,19.9,40.67,3.0,10.0
2022-01-12 02,40.0,19.9,44.29,0.0,10.0
2022-01-12 03,39.0,19.0,44.14,0.0,10.0
2022-01-12 04,38.0,21.0,50.18,3.0,10.0
2022-01-12 05,37.0,21.0,51.99,3.0,10.0
2022-01-12 06,37.0,21.0,51.99,0.0,10.0
2022-01-12 07,35.0,21.9,58.22,3.0,10.0
2022-01-12 08,36.0,19.9,51.61,4.0,10.0
2022-01-12 09,35.0,21.0,56.05,3.0,10.0
2022-01-12 10,33.0,21.9,63.06,0.0,10.0
2022-01-12 11,34.0,21.9,60.83,3.0,10.0
2022-01-12 12,34.0,21.9,60.83,0.0,10.0
2022-01-12 13,38.0,23.0,54.6,0.0,10.0
2022-01-12 14,41.0,19.9,42.44,6.0,10.0
2022-01-12 15,46.0,21.9,38.15,5.0,10.0
2022-01-12 16,49.0,21.9,34.2,5.0,10.0
2022-01-12 17,51.0,23.0,33.01,5.0,10.0
2022-01-12 18,53.0,23.0,30.67,3.0,10.0
2022-01-12 19,54.0,21.9,28.33,5.0,10.0
2022-01-12 20,55.0,21.0,26.29,3.0,10.0
2022-01-12 21,55.0,21.0,26.29,4.0,10.0
